Category,Variable,Fire,Months_Before_Fire,Mean_Value
DFMC,Wood,PALISADES,-1,-0.6520560344999999
DFMC,Wood,PALISADES,-2,-0.9124526297666667
DFMC,Wood,PALISADES,-3,-0.9968572406333336
DFMC,Wood,PALISADES,-4,-0.9024986672333336
DFMC,Wood,PALISADES,-5,-0.3901688144666667
DFMC,Wood,PALISADES,-6,-0.0620046857
DFMC,Wood,PALISADES,-7,-0.0159445374
DFMC,Wood,PALISADES,-8,-0.2348287675999999
DFMC,Wood,PALISADES,-9,0.3000460694
DFMC,Wood,PALISADES,-10,0.5155835429333333
DFMC,Wood,PALISADES,-11,0.7928179066000002
DFMC,Wood,PALISADES,-12,0.2884907381
DFMC,Wood,PALISADES,-13,0.2053391462999999
DFMC,Wood,PALISADES,-14,0.2019492358666666
DFMC,Wood,PALISADES,-15,0.2451341994
DFMC,Wood,PALISADES,-16,0.7832460889
DFMC,Wood,PALISADES,-17,1.0842935336666668
DFMC,Wood,PALISADES,-18,1.0598960569666669
DFMC,Wood,PALISADES,-19,0.4575526433333333
DFMC,Wood,PALISADES,-20,0.1087188995333333
DFMC,Wood,PALISADES,-21,0.4146245227333334
DFMC,Wood,PALISADES,-22,0.6415769478000001
DFMC,Wood,PALISADES,-23,0.6902419199333334
DFMC,Wood,PALISADES,-24,0.3613374181
DFMC,Wood,PALISADES,-25,0.2134135802666666
DFMC,Wood,PALISADES,-26,0.1800499984
DFMC,Wood,PALISADES,-27,-0.1714140455333333
DFMC,Wood,PALISADES,-28,0.0163412400999999
DFMC,Wood,PALISADES,-29,-0.0450124996
DFMC,Wood,PALISADES,-30,0.2468665891666666
DFMC,Wood,EATON,0,-0.6355962747
DFMC,Wood,EATON,-1,-0.40360575095
DFMC,Wood,EATON,-2,-0.2625935096333333
DFMC,Wood,EATON,-3,0.3036447968666667
DFMC,Wood,EATON,-4,0.4277180909
DFMC,Wood,EATON,-5,0.5256562938666667
DFMC,Wood,EATON,-6,0.2846849191666666
DFMC,Wood,EATON,-7,0.1962906056666666
DFMC,Wood,EATON,-8,0.1975373012666666
DFMC,Wood,EATON,-9,0.6279026289666666
DFMC,Wood,EATON,-10,0.8403156167333332
DFMC,Wood,EATON,-11,0.7837568745999999
DFMC,Wood,EATON,-12,0.2591479142666666
DFMC,Wood,EATON,-13,0.2244689302
DFMC,Wood,EATON,-14,0.4379683957
DFMC,Wood,EATON,-15,0.7172118231333333
DFMC,Wood,EATON,-16,1.2263360868
DFMC,Wood,EATON,-17,1.3602778025666666
DFMC,Wood,EATON,-18,1.145869828733333
DFMC,Wood,EATON,-19,0.5131602074
DFMC,Wood,EATON,-20,0.3842526111
DFMC,Wood,EATON,-21,0.6316099438666667
DFMC,Wood,EATON,-22,0.7994964633666667
DFMC,Wood,EATON,-23,0.5973214909333332
DFMC,Wood,EATON,-24,0.2885196801666667
DFMC,Wood,EATON,-25,0.2547419218333333
DFMC,Wood,EATON,-26,0.4921602823666666
DFMC,Wood,EATON,-27,0.5882409589666666
DFMC,Wood,EATON,-28,0.7581538708666665
DFMC,Wood,EATON,-29,0.3810232188666666
DFMC,Wood,EATON,-30,0.1622547689999999
